Anio;Nombre;Estable;Prov_ubi;Cant_ubi;Parr_ubi;Pais;Clase;Tipo;Entidad;Sector;total_med;medico_general;cirujanos_general;cirujanos_plasticos;internista;anestesiologos;cardiologos;neurologos;traumatologos;psiquiatras;oftamologos;otorrinolaringologos;hematologos;gastroenterologos;geriatras;oncologos;urologos
2013;Hospitl del dia;2;Azuay;Cuenca;Cuenca;Ecuador;Clínica General;Clínicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;74;0;9;1;2;6;1;4;3;1;1;2;2;2;0;1;3
2013;Hospitl del dia;3;Azuay;Cuenca;Cuenca;Ecuador;Clínica General;Clínicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;63;1;4;2;5;3;1;1;3;1;1;2;1;3;1;1;1
2013;Hospitl del dia;4;Azuay;Cuenca;Cuenca;Ecuador;Clínica General;Clínicas Generales sin especialidad;Privados con Fines de Lucro;Sector Privado con fines de lucro;108;0;8;3;5;5;7;7;7;0;3;5;1;4;0;1;4
2013;Hospitl del dia;6;Azuay;Cuenca;Cuenca;Ecuador;Hospital General;Agudo;Ministerio de Salud Pública;Sector Público;156;43;8;2;12;14;3;4;4;2;2;2;1;2;1;0;2
2013;Hospitl del dia;7;Azuay;Cuenca;Cuenca;Ecuador;Hospital de Especialidades;Agudo;Instituto Ecuatoriano de Seguridad Social;Sector Público;213;25;6;2;9;18;5;3;6;2;2;4;0;4;1;0;4
2013;Hospitl del dia;8;Azuay;Cuenca;Cuenca;Ecuador;Hospital General;Agudo;Ministerio de Defensa Nacional;Sector Público;35;2;1;0;2;2;2;1;2;1;1;1;0;1;0;0;1
2013;Hospitl del dia;10;Azuay;Cuenca;Cuenca;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;22;8;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0
2013;Hospitl del dia;11;Azuay;Cuenca;Cuenca;Ecuador;Hospital Psiquiátrico y Sanatorio de Alcóholicos;Crónico;Privados sin Fines de Lucro;Sector Privado sin fines de lucro;13;2;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0
2013;Hospitl del dia;12;Azuay;Girón;Girón;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;24;4;1;0;2;2;0;0;0;0;0;1;0;0;0;0;0
2013;Hospitl del dia;13;Azuay;Gualaceo;Gualaceo;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;28;6;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0
2013;Hospitl del dia;14;Azuay;Santa Isabel;Santa Isabel;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;24;4;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2013;Hospitl del dia;15;Azuay;Sigsig;Sigsig;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;19;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2013;Hospitl del dia;16;Azuay;Paute;Paute;Ecuador;Hospital Básico;Sin Tipo;Ministerio de Salud Pública;Sector Público;22;6;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0
